FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_DOM;PERIODO
9/01/2023;1;010101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;28423;27548;875;4857,50;2014
9/01/2023;2;010102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;291;151;140;33,56;2014
9/01/2023;3;010103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1615;299;1316;48,96;2014
9/01/2023;4;010104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;597;388;209;63,59;2014
9/01/2023;5;010105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;737;197;540;32,38;2014
9/01/2023;6;010106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2096;630;1466;103,25;2014
9/01/2023;7;010107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;395;133;262;29,46;2014
9/01/2023;8;010108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1240;1231;9;201,84;2014
9/01/2023;9;010109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;5551;2442;3109;542,65;2014
9/01/2023;10;010110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;4200;1991;2209;442,34;2014
9/01/2023;11;010111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;893;458;435;75,16;2014
9/01/2023;12;010112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;815;643;172;142,82;2014
9/01/2023;13;010113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1034;498;536;110,62;2014
9/01/2023;14;010114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2737;720;2017;147,94;2014
9/01/2023;15;010115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;608;545;63;121,03;2014
9/01/2023;16;010116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;365;107;258;23,76;2014
9/01/2023;17;010117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;865;132;733;29,43;2014
